,id_left,name_left,is_tbd,geometry,index_right,id_right,name_right,color,feature_id,coordinates,geometry_type
226,new-victoria-ns-canada,"New Victoria, NS, Canada",False,POINT (-60.12957066830409 46.25290729969465),,,,,,,
227,rose-blanche-nl-canada,"Rose Blanche, NL, Canada",False,POINT (-58.68660294051598 47.61768929491325),,,,,,,
228,lancresse-bay-guernsey,"L'Ancresse Bay, Guernsey",False,POINT (-2.533468891797979 49.503393052866365),,,,,,,
229,saints-bay-guernsey,"Saints Bay, Guernsey",False,POINT (-2.55802942127399 49.42332555697762),,,,,,,
230,pembroke-guernsey,"Pembroke, Guernsey",False,POINT (-2.537619279482766 49.50954423335227),,,,,,,
231,malabo-equatorial-guinea,"Malabo, Equatorial Guinea",False,POINT (8.783368794372972 3.749792920040749),,,,,,,
232,palma-spain,"Palma, Spain",False,POINT (2.60524817101164 39.55232558289561),,,,,,,
233,santa-cruz-de-la-palma-canary-islands-spain,"Santa Cruz de La Palma, Canary Islands, Spain",False,POINT (-17.76524521083967 28.663181918946645),,,,,,,
234,granadilla-de-abona-spain,"Granadilla de Abona, Spain",False,POINT (-16.518053538916995 28.059115806261115),,,,,,,
235,nukualofa-tonga,"Nuku'alofa, Tonga",False,POINT (-175.2000320590245 -21.133285523298625),,,,,,,
236,fresh-creek-bahamas,"Fresh Creek, Bahamas",False,POINT (-77.84460938833539 24.689806158505295),,,,,,,
237,port-nelson-bahamas,"Port Nelson, Bahamas",False,POINT (-74.84054657503567 23.652143168499897),,,,,,,
238,george-town-bahamas,"George Town, Bahamas",False,POINT (-75.78800684134592 23.516551982193732),,,,,,,
239,clarence-town-bahamas,"Clarence Town, Bahamas",False,POINT (-74.96618125165993 23.09834303441083),,,,,,,
240,cockburn-town-bahamas,"Cockburn Town, Bahamas",False,POINT (-74.53024406048189 24.05253194857149),,,,,,,
241,cagliari-italy,"Cagliari, Italy",False,POINT (9.109345125948376 39.21530980337921),,,,,,,
242,civitavecchia-italy,"Civitavecchia, Italy",False,POINT (11.796843222099477 42.091130652249426),,,,,,,
243,olbia-italy,"Olbia, Italy",False,POINT (9.49644289999974 40.923576400000215),,,,,,,
244,khark-island-iran,"Khark Island, Iran",False,POINT (50.31205031256539 29.245773309269826),,,,,,,
245,soroosh-platform-iran,"Soroosh Platform, Iran",False,POINT (49.47806652836741 29.072484050458698),,,,,,,
246,diba-oman,"Diba, Oman",False,POINT (56.258042194119106 25.616974601949348),,,,,,,
